id;first_name;last_name;email;phone_number;birth_date;weight;height;running_coefficient;performance_coefficient
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam;2019-06-27T12:13:01;5808;45924;86617;33370
2;Lazaro;Conroy;Mac96@hotmail.com;parsing red Chips;2019-06-27T10:12:53;61748;30424;61165;52475
3;Adaline;Keeling;Einar.Ledner@gmail.com;Gorgeous Frozen Pants;2019-06-27T09:01:48;45606;9060;78517;61838
4;Cody;Homenick;Wilma.McLaughlin@yahoo.com;Credit Card Account Table Small Frozen Sausages;2019-06-26T15:26:29;56328;80839;38541;30461
5;Aglae;Boyle;Markus_Fisher@gmail.com;Investment Account;2019-06-26T18:37:12;3438;17336;90932;39106
6;Destiney;Deckow;Nicolas_Hagenes@yahoo.com;Mayotte;2019-06-27T10:10:48;3131;96958;84228;77513
7;Isom;Weimann;Soledad_Walter@yahoo.com;archive Georgia Aruba;2019-06-26T15:32:55;32533;84453;38867;74732
8;Donavon;Lind;Kyler.Hermiston60@hotmail.com;bifurcated scalable;2019-06-27T10:39:00;7455;1563;98688;42340
9;Olin;Huels;Eldora81@gmail.com;monitor;2019-06-26T21:07:14;79017;77127;60595;7404
10;Tierra;Hermiston;Betty_Volkman62@yahoo.com;archive Fantastic Plastic Chicken;2019-06-27T06:48:44;66592;72960;59129;63755
